wl,n
0.496,1.4626
0.507,1.4619
0.518,1.4614
0.529,1.4608
0.54,1.4603
0.551,1.4599
0.562,1.4594
0.573,1.459
0.584,1.4586
0.595,1.4582
0.606,1.4578
0.617,1.4575
0.628,1.4572
0.639,1.4568
0.65,1.4565
0.661,1.4562
0.672,1.456
0.683,1.4557
0.694,1.4554
0.705,1.4552
0.716,1.4549
0.727,1.4547
0.738,1.4545
0.749,1.4543
0.76,1.454
0.771,1.4538
0.782,1.4536
0.793,1.4534
0.804,1.4532
0.815,1.4531
0.826,1.4529
0.837,1.4527
0.848,1.4525
0.859,1.4524
0.87,1.4522
0.881,1.452
0.892,1.4519
0.903,1.4517
0.914,1.4516
0.925,1.4514
0.936,1.4513
0.947,1.4511
0.958,1.451
0.969,1.4508
0.98,1.4507
0.991,1.4505
1.002,1.4504
