wl,n
0.496,2.717720001
0.507,2.700750727
0.518,2.685374932
0.529,2.67138681
0.54,2.658614213
0.551,2.646912038
0.562,2.636157132
0.573,2.626244298
0.584,2.617083146
0.595,2.608595587
0.606,2.600713816
0.617,2.59337868
0.628,2.586538348
0.639,2.580147219
0.65,2.574165018
0.661,2.568556046
0.672,2.563288553
0.683,2.558334211
0.694,2.553667666
0.705,2.549266168
0.716,2.545109239
0.727,2.541178408
0.738,2.537456966
0.749,2.533929768
0.76,2.530583054
0.771,2.527404298
0.782,2.524382071
0.793,2.521505929
0.804,2.518766308
0.815,2.516154434
0.826,2.513662247
0.837,2.511282328
0.848,2.509007839
0.859,2.506832468
0.87,2.504750379
0.881,2.50275617
0.892,2.500844835
0.903,2.499011725
0.914,2.497252521
0.925,2.495563206
0.936,2.493940036
0.947,2.492379521
0.958,2.490878402
0.969,2.489433636
0.98,2.488042372
0.991,2.486701945
1.002,2.485409854
